language,model_level,n_participants,n_verbs,prior_regime,hypothesis,n_sims,p_bf_primary,p_bf_secondary,median_bf,mean_bf,p_convergence_ok
AllLanguages,L4_cross_uncorrelated,30,20,proposal,H1a_semantics_positive,50,0.98,1,27.532945118069804,27.146596103006335,0.54
AllLanguages,L4_cross_uncorrelated,30,20,proposal,H1b_active_interaction_negative,50,0.48,0.96,9.87803349412925,10.854969432683635,0.54
AllLanguages,L4_cross_uncorrelated,30,20,proposal,H2a_pseudo_positive,50,0.08,0.7,4.747315842783506,5.424018287436466,0.54
AllLanguages,L4_cross_uncorrelated,30,20,proposal,H2b_pseudo_negative,50,0,0.02,0.2106489960811535,0.5245587731798715,0.54
AllLanguages,L4_cross_uncorrelated,40,20,proposal,H1a_semantics_positive,50,0.92,1,29.54771190791233,28.396281331935473,0.5
AllLanguages,L4_cross_uncorrelated,40,20,proposal,H1b_active_interaction_negative,50,0.64,0.9,12.485859515872592,13.497690801049577,0.5
AllLanguages,L4_cross_uncorrelated,40,20,proposal,H2a_pseudo_positive,50,0.3,0.7,5.7230018508528975,8.015424240067247,0.5
AllLanguages,L4_cross_uncorrelated,40,20,proposal,H2b_pseudo_negative,50,0,0,0.17482550146267428,0.3004096910015143,0.5
AllLanguages,L4_cross_uncorrelated,50,20,proposal,H1a_semantics_positive,50,0.96,1,25.903298935915686,28.9707818479759,0.56
AllLanguages,L4_cross_uncorrelated,50,20,proposal,H1b_active_interaction_negative,50,0.76,0.98,13.469215996992336,15.090086573930177,0.56
AllLanguages,L4_cross_uncorrelated,50,20,proposal,H2a_pseudo_positive,50,0.26,0.76,4.872686001896465,6.579726667218102,0.56
AllLanguages,L4_cross_uncorrelated,50,20,proposal,H2b_pseudo_negative,50,0,0,0.20522699451140058,0.30497637275884704,0.56
AllLanguages,L4_cross_uncorrelated,60,20,proposal,H1a_semantics_positive,50,0.94,1,32.23103137676995,37.479111242372916,0.66
AllLanguages,L4_cross_uncorrelated,60,20,proposal,H1b_active_interaction_negative,50,0.82,1,20.22980037282936,20.795110179372315,0.66
AllLanguages,L4_cross_uncorrelated,60,20,proposal,H2a_pseudo_positive,50,0.24,0.66,5.40782541205601,7.069608944232378,0.66
AllLanguages,L4_cross_uncorrelated,60,20,proposal,H2b_pseudo_negative,50,0,0,0.18508060246120955,0.3159141146430911,0.66
English,L5_correlated_maximal,30,20,proposal,H1a_semantics_positive,400,0.995,0.9975,1369.2537683922205,254523.39274520637,0.995
English,L5_correlated_maximal,30,20,proposal,H1b_active_interaction_negative,400,0.36,0.6925,5.550224509518254,26.800883218521054,0.995
