language,model_level,n_participants,n_verbs,prior_regime,hypothesis,n_sims,p_bf_primary,p_bf_secondary,median_bf,mean_bf,p_convergence_ok
English,L5_correlated_maximal,30,20,primary,H1a_semantics_positive,200,1,1,1150.4534513943343,242231.63425408033,1
English,L5_correlated_maximal,30,20,primary,H1b_active_interaction_negative,200,0.385,0.705,5.839597224317721,26.88654413905291,1
English,L5_correlated_maximal,30,20,primary,H2a_pseudo_positive,200,0.34,0.72,5.396508634400462,18.800232401292448,1
English,L5_correlated_maximal,30,20,primary,H2b_pseudo_negative,200,0,0.025,0.18530774672181288,0.4024932781584818,1
English,L5_correlated_maximal,40,20,primary,H1a_semantics_positive,200,1,1,7785.92780998409,430383.2047530978,0.995
English,L5_correlated_maximal,40,20,primary,H1b_active_interaction_negative,200,0.5,0.79,9.975069305780345,5021.984062861755,0.995
English,L5_correlated_maximal,40,20,primary,H2a_pseudo_positive,200,0.435,0.755,8.18077080529557,38.64270414783556,0.995
English,L5_correlated_maximal,40,20,primary,H2b_pseudo_negative,200,0,0.025,0.12224604904169936,0.41614567168515504,0.995
English,L5_correlated_maximal,50,20,heavy_tailed,H1a_semantics_positive,200,1,1,984372.1082574789,645404.5461489188,1
English,L5_correlated_maximal,50,20,heavy_tailed,H1b_active_interaction_negative,200,0.61,0.835,16.746936501398473,5069.283845433891,1
English,L5_correlated_maximal,50,20,heavy_tailed,H2a_pseudo_positive,200,0.4,0.655,5.621787781704429,46.20922575018391,1
English,L5_correlated_maximal,50,20,heavy_tailed,H2b_pseudo_negative,200,0.005,0.025,0.1779160240645341,0.5070265874625061,1
English,L5_correlated_maximal,50,20,literature_centred,H1a_semantics_positive,200,1,1,97996.05901447556,92081.70149417403,0.995
English,L5_correlated_maximal,50,20,literature_centred,H1b_active_interaction_negative,200,0.61,0.835,16.164322015803055,2928.2456023825043,0.995
English,L5_correlated_maximal,50,20,literature_centred,H2a_pseudo_positive,200,0.54,0.825,10.890269940832543,59.716799371031115,0.995
English,L5_correlated_maximal,50,20,literature_centred,H2b_pseudo_negative,200,0,0.005,0.09182559674024099,0.21469665984279915,0.995
English,L5_correlated_maximal,50,20,primary,H1a_semantics_positive,200,1,1,980932.564321905,598045.2807906813,1
English,L5_correlated_maximal,50,20,primary,H1b_active_interaction_negative,200,0.585,0.815,13.091383885336898,10059.602946617455,1
English,L5_correlated_maximal,50,20,primary,H2a_pseudo_positive,200,0.47,0.735,8.400924673143834,5253.523330472806,1
English,L5_correlated_maximal,50,20,primary,H2b_pseudo_negative,200,0,0.02,0.11903887772589106,0.3848537288673389,1
English,L5_correlated_maximal,50,20,weak,H1a_semantics_positive,200,1,1,987083.0897784629,714847.5364301492,0.995
English,L5_correlated_maximal,50,20,weak,H1b_active_interaction_negative,200,0.665,0.875,27.520356626002908,10132.401314671448,0.995
English,L5_correlated_maximal,50,20,weak,H2a_pseudo_positive,200,0.305,0.58,4.383587753296091,50.69326971679548,0.995
English,L5_correlated_maximal,50,20,weak,H2b_pseudo_negative,200,0.02,0.055,0.2281323837180398,1.3314215661680264,0.995
English,L5_correlated_maximal,60,20,primary,H1a_semantics_positive,200,1,1,997502.1235668219,831721.3032161806,0.995
English,L5_correlated_maximal,60,20,primary,H1b_active_interaction_negative,200,0.695,0.935,23.740772202264495,342.38384886858216,0.995
English,L5_correlated_maximal,60,20,primary,H2a_pseudo_positive,200,0.445,0.76,8.619430944874285,10148.658349515586,0.995
English,L5_correlated_maximal,60,20,primary,H2b_pseudo_negative,200,0,0.01,0.11602340456203193,0.331332444034321,0.995
English,L5_correlated_maximal,70,20,primary,H1a_semantics_positive,200,1,1,996754.3069960764,914727.6332960814,0.995
English,L5_correlated_maximal,70,20,primary,H1b_active_interaction_negative,200,0.775,0.935,43.19858340772073,35099.21114440985,0.995
English,L5_correlated_maximal,70,20,primary,H2a_pseudo_positive,200,0.43,0.765,7.93792956190136,5097.335013772816,0.995
English,L5_correlated_maximal,70,20,primary,H2b_pseudo_negative,200,0.005,0.02,0.12597864593307045,0.38312953271101535,0.995
English,L5_correlated_maximal,80,20,primary,H1a_semantics_positive,200,1,1,995509.1067311639,949077.7385445859,0.99
English,L5_correlated_maximal,80,20,primary,H1b_active_interaction_negative,200,0.825,0.945,78.6794229749951,5642.549473532467,0.99
English,L5_correlated_maximal,80,20,primary,H2a_pseudo_positive,200,0.565,0.82,11.754372463347774,5047.794630857725,0.99
English,L5_correlated_maximal,80,20,primary,H2b_pseudo_negative,200,0,0.005,0.08507509609345476,0.26000546340545055,0.99
English,L5_correlated_maximal,90,20,primary,H1a_semantics_positive,200,1,1,995758.0473632376,997465.4318543673,0.985
English,L5_correlated_maximal,90,20,primary,H1b_active_interaction_negative,200,0.87,0.98,73.5319599508361,55074.52438874584,0.985
English,L5_correlated_maximal,90,20,primary,H2a_pseudo_positive,200,0.575,0.805,12.970093398056203,5063.020465707716,0.985
English,L5_correlated_maximal,90,20,primary,H2b_pseudo_negative,200,0,0.02,0.07710528399190375,0.2762587715706281,0.985
English,L5_correlated_maximal,100,20,primary,H1a_semantics_positive,200,1,1,998000.9999713021,988657.4840062163,0.995
English,L5_correlated_maximal,100,20,primary,H1b_active_interaction_negative,200,0.885,0.96,132.89016534939532,80284.47286379644,0.995
English,L5_correlated_maximal,100,20,primary,H2a_pseudo_positive,200,0.52,0.785,11.183242663070668,5311.845773906203,0.995
