language,mode,n_participants,reps,p_h1a,p_h1b,p_joint,p_h1a_bf6,p_h1b_bf6,p_joint_bf6,p_h1a_bf3,p_h1b_bf3,p_joint_bf3
English,assurance,30,24,0.5833333333333334,0.5416666666666666,0.25,0.7083333333333334,0.6666666666666666,0.4583333333333333,0.7083333333333334,0.8333333333333334,0.625
English,assurance,50,24,0.5416666666666666,0.7916666666666666,0.4166666666666667,0.6666666666666666,0.8333333333333334,0.5416666666666666,0.8333333333333334,0.9166666666666666,0.75
English,assurance,70,144,0.6388888888888888,0.7638888888888888,0.4791666666666667,0.7430555555555556,0.8819444444444444,0.6527777777777778,0.8263888888888888,0.9444444444444444,0.7708333333333334
English,assurance,80,108,0.6759259259259259,0.8888888888888888,0.6203703703703703,0.7592592592592593,0.9537037037037037,0.7314814814814815,0.8425925925925926,0.9814814814814815,0.8240740740740741
English,assurance,100,39,0.717948717948718,0.7435897435897436,0.5384615384615384,0.7948717948717948,0.7692307692307693,0.5897435897435898,0.9230769230769231,0.8974358974358975,0.8205128205128205
English,assurance,130,24,0.5416666666666666,0.875,0.4583333333333333,0.6666666666666666,0.9583333333333334,0.6666666666666666,0.75,0.9583333333333334,0.7083333333333334
English,assurance,150,40,0.675,0.925,0.625,0.75,0.925,0.7,0.925,0.95,0.875
English,assurance,200,40,0.775,0.85,0.65,0.875,0.875,0.775,0.875,0.95,0.825
English,assurance,250,40,0.775,0.9,0.7,0.8,0.925,0.75,0.875,0.95,0.85
English,assurance,300,40,0.725,0.95,0.725,0.725,0.975,0.725,0.875,1,0.875
English,assurance,400,32,0.625,0.90625,0.625,0.75,0.90625,0.6875,0.78125,0.90625,0.71875
English,assurance,500,1,0,1,0,0,1,0,1,1,1
Norwegian,assurance,30,24,0.5833333333333334,0.625,0.4166666666666667,0.625,0.625,0.4166666666666667,0.7916666666666666,0.875,0.7083333333333334
Norwegian,assurance,50,24,0.75,0.9166666666666666,0.6666666666666666,0.875,0.9166666666666666,0.7916666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334
Norwegian,assurance,70,24,0.7916666666666666,0.875,0.75,0.8333333333333334,0.875,0.75,0.9166666666666666,0.9166666666666666,0.875
Norwegian,assurance,80,60,0.7666666666666667,0.9666666666666667,0.75,0.8,0.9833333333333333,0.8,0.8666666666666667,0.9833333333333333,0.8666666666666667
Norwegian,assurance,100,144,0.8333333333333334,0.9722222222222222,0.8194444444444444,0.8611111111111112,0.9861111111111112,0.8541666666666666,0.9027777777777778,0.9861111111111112,0.8958333333333334
Norwegian,assurance,130,24,0.9166666666666666,0.9583333333333334,0.875,0.9583333333333334,0.9583333333333334,0.9166666666666666,1,0.9583333333333334,0.9583333333333334
Turkish,assurance,30,24,0.625,0.3333333333333333,0.20833333333333334,0.75,0.4583333333333333,0.375,0.7916666666666666,0.625,0.5
Turkish,assurance,50,24,0.8333333333333334,0.4166666666666667,0.375,0.8333333333333334,0.4166666666666667,0.375,0.875,0.625,0.5416666666666666
Turkish,assurance,70,63,0.6190476190476191,0.5714285714285714,0.3333333333333333,0.7142857142857143,0.6349206349206349,0.47619047619047616,0.7936507936507936,0.7142857142857143,0.5873015873015873
Turkish,assurance,80,1,1,1,1,1,1,1,1,1,1
Turkish,assurance,100,32,0.53125,0.5,0.28125,0.625,0.5625,0.375,0.90625,0.75,0.6875
Turkish,assurance,130,24,0.7083333333333334,0.5,0.2916666666666667,0.7916666666666666,0.5833333333333334,0.4583333333333333,0.9166666666666666,0.8333333333333334,0.75
