"language","S_Type","subset","n_cells","prop_woman_first","woman_first_binomial_p","mean_first","mean_second","mean_shift_second_minus_first","se_shift","shift_if_woman_first","shift_if_man_first","repetition_effect","woman_minus_man","prop_identical","sd_first","sd_second","prop_7_first","prop_7_second"
"English","All","all_cells",15120,0.501587,0.702294,6.11944,6.01706,-0.102381,0.0278769,-0.107862,-0.0967401,-0.102301,0.00556103,0.656548,1.33045,1.40914,0.568849,0.541534
"English","Passive","all_cells",5040,0.50496,0.490066,6.27877,6.25516,-0.0236111,0.0324444,-0.0402245,-0.00375431,-0.0219894,0.0182351,0.62877,1.14006,1.14739,0.598413,0.588095
"English","Active","all_cells",5040,0.499405,0.943853,6.67242,6.65873,-0.0136905,0.0236873,0.00284386,-0.0306149,-0.0138855,-0.0167294,0.799405,0.862917,0.874209,0.818849,0.812103
"English","Pseudo_Passive","all_cells",5040,0.500397,0.966294,5.40714,5.1373,-0.269841,0.0458919,-0.293337,-0.242594,-0.267965,0.0253719,0.541468,1.55819,1.6231,0.289286,0.224405
"English","All","lag_short_1-82",5085,0.497738,0.757693,6.0706,6.03717,-0.0341869,0.0131391,-0.0196985,-0.0505014,-0.0351,-0.0154014,0.705998,1.38453,1.39065,0.560275,0.546509
"English","All","lag_medium_83-188",5037,0.510621,0.135285,6.0941,6.00238,-0.0930443,0.0221179,-0.13387,-0.0535549,-0.0937126,0.0401576,0.661108,1.36108,1.42177,0.56482,0.536827
"English","All","lag_long_189-440",4998,0.496399,0.620552,6.19468,6.0114,-0.175082,0.0553033,-0.180962,-0.175451,-0.178207,0.00275546,0.601641,1.23678,1.41509,0.581633,0.541216
"Turkish","All","all_cells",15120,0.506217,0.128313,6.27024,6.24762,-0.022619,0.0229768,-0.0201602,-0.0240732,-0.0221167,-0.00195649,0.698016,1.12796,1.14152,0.595767,0.581878
"Turkish","Passive","all_cells",5040,0.498611,0.854709,5.93075,5.86071,-0.0700397,0.036291,-0.0440102,-0.097334,-0.0706721,-0.0266619,0.596032,1.2536,1.27334,0.435516,0.403175
"Turkish","Active","all_cells",5040,0.510119,0.154823,6.78036,6.81409,0.0337302,0.0196836,0.0596094,0.00993221,0.0347708,-0.0248386,0.864484,0.675582,0.641676,0.869048,0.893849
"Turkish","Pseudo_Passive","all_cells",5040,0.509921,0.163159,6.0996,6.06806,-0.0315476,0.0381175,-0.0855426,0.0227787,-0.031382,0.0541607,0.633532,1.17677,1.17201,0.482738,0.448611
"Turkish","All","lag_short_1-81",5060,0.514229,0.0443888,6.2502,6.27213,0.0205679,0.0119253,0.0377251,0.00706344,0.0223943,-0.0153308,0.746245,1.15897,1.14256,0.594862,0.6
"Turkish","All","lag_medium_82-184",5040,0.500198,0.988762,6.26111,6.24286,-0.0187762,0.022306,-0.0259163,-0.0122559,-0.0190861,0.00683018,0.691865,1.13176,1.13652,0.58869,0.576587
"Turkish","All","lag_long_185-438",5020,0.504183,0.562815,6.2996,6.22769,-0.073523,0.0438555,-0.0810303,-0.0680746,-0.0745525,0.00647783,0.655578,1.09149,1.14524,0.603785,0.568924
"Norwegian","All","all_cells",7524,0.497608,0.686583,6.1054,6.15417,0.0487772,0.0256984,0.0351812,0.0567863,0.0459837,0.0108025,0.655635,1.43249,1.39668,0.604067,0.620149
"Norwegian","Passive","all_cells",3762,0.501595,0.857672,6.01568,6.07788,0.062201,0.0324368,0.05834,0.0662309,0.0622855,0.00394541,0.62387,1.48538,1.43994,0.572302,0.588517
"Norwegian","Active","all_cells",3762,0.49362,0.443513,6.19511,6.23046,0.0353535,0.0285238,0.0135575,0.0499491,0.0317533,0.0181958,0.6874,1.37192,1.34791,0.635832,0.651781
"Norwegian","All","lag_short_1-74",2521,0.509322,0.359585,6.12535,6.13526,0.0104162,0.019568,-0.0158523,0.0313544,0.00775107,0.0236034,0.679096,1.41903,1.39939,0.607299,0.610869
"Norwegian","All","lag_medium_75-169",2498,0.496797,0.764093,6.06765,6.16813,0.0991618,0.0294389,0.101203,0.0922371,0.0967202,-0.00448312,0.646918,1.45491,1.38465,0.589672,0.620096
"Norwegian","All","lag_long_170-395",2505,0.486627,0.187265,6.12295,6.15928,0.0432183,0.0450137,0.0328999,0.0550187,0.0439593,0.0110594,0.640719,1.42324,1.40621,0.61517,0.629541
