"language","analysis","scheme","replicate","variant","engine","grp","var1","var2","vcov","sdcor","residual_sd"
"English","ordinal","full",0,"clmm","clmm","VS","(Intercept)",NA,0.398459,0.631236,1.8138
"English","ordinal","full",0,"clmm","clmm","Participant","(Intercept)",NA,5.43226,2.33072,1.8138
"English","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","Cell","(Intercept)",NA,0.344748,0.587152,1.8138
"English","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","VS","(Intercept)",NA,0.610823,0.781551,1.8138
"English","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","PS","(Intercept)",NA,2.59209,1.61,1.8138
"English","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","Participant","(Intercept)",NA,4.50842,2.12331,1.8138
"Turkish","ordinal","full",0,"clmm","clmm","VS","(Intercept)",NA,0.338063,0.581432,1.8138
"Turkish","ordinal","full",0,"clmm","clmm","Participant","(Intercept)",NA,3.76932,1.94147,1.8138
"Turkish","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","Cell","(Intercept)",NA,0.409993,0.640307,1.8138
"Turkish","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","VS","(Intercept)",NA,0.759806,0.871669,1.8138
"Turkish","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","PS","(Intercept)",NA,3.13398,1.77031,1.8138
"Turkish","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","Participant","(Intercept)",NA,2.7086,1.64578,1.8138
"Norwegian","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","Cell","(Intercept)",NA,2.82835,1.68177,1.8138
"Norwegian","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","VS","(Intercept)",NA,0.892509,0.944727,1.8138
"Norwegian","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","PS","(Intercept)",NA,0.732238,0.855709,1.8138
"Norwegian","variance_latent","clmm_cell_term_subset",0,"clmm","clmm","Participant","(Intercept)",NA,7.30976,2.70366,1.8138
"English","ordinal","A_verb_split_lists",1,"clmm","clmm","VS","(Intercept)",NA,0.372829,0.610598,1.8138
"English","ordinal","A_verb_split_lists",1,"clmm","clmm","Participant","(Intercept)",NA,5.21111,2.28279,1.8138
"English","ordinal","A_verb_split_lists",2,"clmm","clmm","VS","(Intercept)",NA,0.379213,0.615803,1.8138
"English","ordinal","A_verb_split_lists",2,"clmm","clmm","Participant","(Intercept)",NA,5.23505,2.28802,1.8138
"Turkish","ordinal","A_verb_split_lists",1,"clmm","clmm","VS","(Intercept)",NA,0.324134,0.569328,1.8138
"Turkish","ordinal","A_verb_split_lists",1,"clmm","clmm","Participant","(Intercept)",NA,3.88988,1.97228,1.8138
"Turkish","ordinal","A_verb_split_lists",2,"clmm","clmm","VS","(Intercept)",NA,0.312839,0.55932,1.8138
"Turkish","ordinal","A_verb_split_lists",2,"clmm","clmm","Participant","(Intercept)",NA,3.59533,1.89613,1.8138
"Norwegian","ordinal","full",0,"clmm","clmm","VS","(Intercept)",NA,0.349225,0.590953,1.8138
"Norwegian","ordinal","full",0,"clmm","clmm","Participant","(Intercept)",NA,4.5252,2.12725,1.8138
"Norwegian","ordinal","A_verb_split_lists",1,"clmm","clmm","VS","(Intercept)",NA,0.307378,0.554417,1.8138
"Norwegian","ordinal","A_verb_split_lists",1,"clmm","clmm","Participant","(Intercept)",NA,4.27091,2.06662,1.8138
