"scenario","K","n_known","transfer_sd","n_reps","power","mcse","power_lo","power_hi","mean_z","median_bf","seed"
"a) nothing known: every language drawn",6,0,0,4000,0.557,0.00785415495136173,0.541444182453423,0.57247247475359,1.3771252883857,13.4137438472986,5216
"a) nothing known: every language drawn",8,0,0,4000,0.658,0.00750059997600192,0.643062799960378,0.672706064674231,1.66306364908541,26.7175368938078,5218
"a) nothing known: every language drawn",10,0,0,4000,0.69175,0.00730123170259649,0.677178572257117,0.706040835485873,1.85586432149324,43.4968979729728,5220
"a) nothing known: every language drawn",12,0,0,4000,0.734,0.0069864869569763,0.720014051218167,0.747643356153202,2.0617713552694,76.0618199621126,5222
"b) the 3 CLAPS pilot teams",6,3,0,4000,0.71575,0.0071318289642279,0.701492774203752,0.729691428715167,1.70554900997299,28.6091058307698,5226
"b) the 3 CLAPS pilot teams",8,3,0,4000,0.74775,0.00686694869465325,0.73398808066937,0.761149120948134,1.88472943900552,43.7672123495896,5228
"b) the 3 CLAPS pilot teams",10,3,0,4000,0.78125,0.00653640645729747,0.768110830598708,0.793977063733959,2.10088032727035,79.111697670134,5230
"b) the 3 CLAPS pilot teams",12,3,0,4000,0.802,0.00630071424522649,0.789307143823562,0.81425013710032,2.30280382163982,139.068140533397,5232
"c) b + Hebrew and Mandarin, transfer good",6,5,0.15,4000,0.91625,0.00437995255396677,0.907233145882941,0.924653153926563,2.03031638397705,48.8222961968605,5236
"c) b + Hebrew and Mandarin, transfer good",8,5,0.15,4000,0.89225,0.00490254876314351,0.882228102228043,0.901694731750133,2.19535255242465,82.1189118321756,5238
"c) b + Hebrew and Mandarin, transfer good",10,5,0.15,4000,0.89275,0.0048925309784405,0.882747341567787,0.902174736924397,2.36807112735909,136.043990291108,5240
"c) b + Hebrew and Mandarin, transfer good",12,5,0.15,4000,0.89175,0.00491253339683304,0.881708927674363,0.901214661594821,2.53222192498597,235.643008512769,5242
"d) b + Balinese and Indonesian, transfer good",6,5,0.15,4000,0.1955,0.00627056117903334,0.183310765709859,0.208135646377171,0.828166174394035,4.13823398706957,5246
"d) b + Balinese and Indonesian, transfer good",8,5,0.15,4000,0.43575,0.00784015206325745,0.420310254327305,0.45128369085629,1.14921341682007,7.88741216132762,5248
"d) b + Balinese and Indonesian, transfer good",10,5,0.15,4000,0.5815,0.00779996394222435,0.566032412190011,0.5968484134932,1.41661982651066,14.549140150489,5250
"d) b + Balinese and Indonesian, transfer good",12,5,0.15,4000,0.68075,0.00737104872965849,0.666049885244178,0.695185647478207,1.64395062827174,25.5330584611643,5252
"e) as d, transfer poor",6,5,0.4,4000,0.19,0.0062028219384406,0.17794750019511,0.202507040480941,0.652983755060256,3.02825747964746,5256
"e) as d, transfer poor",8,5,0.4,4000,0.324,0.00739972972479401,0.309504694742241,0.338752811277697,0.938648146968236,4.94310684120031,5258
"e) as d, transfer poor",10,5,0.4,4000,0.47425,0.00789520325102527,0.458674275398826,0.489863373005823,1.22645289661795,8.97184854015376,5260
"e) as d, transfer poor",12,5,0.4,4000,0.56925,0.00782950249856273,0.553733512578037,0.584665229871894,1.450485340285,14.2821096579159,5262
