"trade","population","K","N","n_verbs","total_participants","se_lang","power","mcse"
"participant_budget","seven",8,80,72,640,0.0885281236365185,0.65225,0.00753027120195548
"participant_budget","seven",10,64,72,640,0.0918004165487749,0.69925,0.00725085232058963
"participant_budget","seven",12,53,72,636,0.0950771883616335,0.7245,0.00706398878113492
"participant_budget","seven",16,40,72,640,0.100983067344512,0.7815,0.00653371544375786
"verb_count","seven",6,80,40,480,0.110538367283591,0.56675,0.00783492880471801
"verb_count","seven",8,80,40,640,0.110538367283591,0.639,0.00759406017885031
"verb_count","seven",12,80,40,960,0.110538367283591,0.7365,0.00696541007407317
"verb_count","seven",6,80,47,480,0.103684431644807,0.5675,0.00783332225176521
"verb_count","seven",8,80,47,640,0.103684431644807,0.64125,0.00758367387055904
"verb_count","seven",12,80,47,960,0.103684431644807,0.7335,0.00699066788654704
"verb_count","seven",6,80,56,480,0.0969641727944748,0.56125,0.00784615252050328
"verb_count","seven",8,80,56,640,0.0969641727944748,0.63725,0.00760201350794643
"verb_count","seven",12,80,56,960,0.0969641727944748,0.7295,0.00702370539672615
"verb_count","seven",6,80,72,480,0.0885281236365185,0.5755,0.00781504558527972
"verb_count","seven",8,80,72,640,0.0885281236365185,0.633,0.00762087593390681
"verb_count","seven",12,80,72,960,0.0885281236365185,0.7375,0.00695689855467219
